year,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape,month
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,1
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,2
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,3
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,4
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,5
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,6
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,7
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,8
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,9
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,10
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,11
1979,440196000,3871,68,1540,2017,35388,10665,21155,3566,244,12
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,1
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,2
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,3
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,4
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,5
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,6
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,7
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,8
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,9
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,10
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,11
1980,450738528,4308,73,1813,2155,38664,12163,22873,3627,265,12
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,1
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,2
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,3
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,4
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,5
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,6
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,7
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,8
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,9
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,10
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,11
1981,458611714,4363,72,1899,2127,38658,12114,23057,3486,264,12
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,1
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,2
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,3
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,4
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,5
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,6
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,7
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,8
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,9
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,10
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,11
1982,463199458,4237,67,1772,2145,37344,11048,22891,3405,252,12
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,1
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,2
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,3
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,4
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,5
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,6
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,7
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,8
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,9
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,10
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,11
1983,467771994,4031,61,1623,2093,34776,10031,21514,3230,252,12
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,1
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,2
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,3
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,4
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,5
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,6
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,7
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,8
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,9
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,10
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,11
1984,471985902,4080,59,1554,2196,34000,9565,21126,3308,269,12
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,1
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,2
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,3
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,4
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,5
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,6
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,7
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,8
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,9
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,10
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,11
1985,476662795,4257,60,1595,2318,35585,9850,22199,3534,282,12
1986,481190887,4772,66,1739,2674,37572,10389,23260,3923,293,1
1986,481190887,4772,66,1739,2674,37572,10389,23260,3923,293,2
1986,481190887,4772,66,1739,2674,37572,10389,23260,3923,293,3
1986,481190887,4772,66,1739,2674,37572,10389,23260,3923,293,4
1986,481190887,4772,66,1739,2674,37572,10389,23260,3923,293,5
